epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,2602.63,1.12969,0.58949,0.9698,0.8009,0.68848,0.73165,0.45883,1.05799,0.52624,0.95424,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,2683.47,1.11881,0.58321,0.96683,0.78277,0.71091,0.74181,0.46823,1.06272,0.51904,0.95403,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,2764.48,1.12337,0.58172,0.9671,0.78027,0.70998,0.73738,0.4641,1.06202,0.51723,0.95294,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,2845.37,1.11359,0.57936,0.96645,0.76304,0.69923,0.73071,0.46386,1.0555,0.52025,0.95158,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,2926.44,1.10971,0.57291,0.96349,0.77329,0.71615,0.74037,0.47071,1.04935,0.51431,0.94884,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,3007.35,1.11186,0.57433,0.96509,0.79135,0.68915,0.72915,0.46504,1.04794,0.5092,0.94969,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,3088.3,1.11207,0.57405,0.96191,0.77114,0.70894,0.74065,0.47132,1.05431,0.50978,0.95027,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,3169.22,1.09973,0.57096,0.96326,0.79182,0.70688,0.74314,0.47355,1.0464,0.50649,0.94816,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,3250.19,1.09743,0.56573,0.96145,0.78375,0.7058,0.73866,0.47246,1.04879,0.50774,0.95052,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,3331.19,1.09954,0.5648,0.96159,0.77106,0.71622,0.74112,0.47085,1.04487,0.50346,0.94765,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,3412.18,1.09174,0.56185,0.95581,0.79499,0.716,0.73896,0.4746,1.04317,0.50428,0.9466,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,3492.98,1.09078,0.55865,0.95384,0.76785,0.7137,0.74701,0.4732,1.03526,0.49956,0.94642,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,3573.87,1.08837,0.55449,0.95648,0.79261,0.71243,0.74397,0.47728,1.03284,0.49871,0.94502,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,3654.79,1.08236,0.55052,0.95521,0.77611,0.728,0.74898,0.48034,1.03256,0.49262,0.94424,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
