epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.6996,1.39821,1.89812,1.06825,0.47807,0.47881,0.46026,0.27132,1.27002,1.15023,1.00684,0.000302511,0.000302511,0.000302511
2,155.305,1.31012,1.0431,1.02442,0.63943,0.56585,0.5833,0.33527,1.22421,0.87355,0.99538,0.000485619,0.000485619,0.000485619
3,233.072,1.27513,0.85544,1.0172,0.72852,0.552,0.59772,0.35699,1.19342,0.7859,0.98687,0.00054874,0.00054874,0.00054874
4,311.135,1.23377,0.76375,1.00346,0.67393,0.63055,0.65816,0.40413,1.13773,0.67213,0.97067,0.000369054,0.000369054,0.000369054
5,389.751,1.18403,0.69607,0.98343,0.74049,0.63939,0.67301,0.41793,1.1115,0.63069,0.96062,0.000189072,0.000189072,0.000189072
