epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
32,5432.71,1.05211,0.53305,0.94724,0.80724,0.71698,0.74835,0.4884,1.01956,0.48924,0.94228,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5601.46,1.04935,0.5294,0.94553,0.83101,0.70001,0.74831,0.48533,1.01921,0.48624,0.94198,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5770.18,1.04833,0.53026,0.94901,0.80472,0.72346,0.7547,0.49022,1.0155,0.47965,0.94056,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5938.81,1.0433,0.52742,0.94504,0.80311,0.73408,0.76616,0.4939,1.00589,0.47966,0.93957,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,6107.53,1.04157,0.52331,0.94413,0.81302,0.73809,0.76641,0.49491,1.00369,0.47891,0.93926,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,6276.26,1.03503,0.51698,0.94276,0.80579,0.73001,0.76238,0.49307,1.00613,0.4748,0.93914,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,6445.01,1.02631,0.51318,0.93847,0.78006,0.75023,0.76029,0.4868,1.00318,0.47751,0.93919,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,6613.61,1.02364,0.51207,0.94107,0.8196,0.7425,0.77075,0.49817,1.00135,0.47067,0.9367,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6782.29,1.02442,0.51016,0.94167,0.79377,0.74621,0.76774,0.4968,1.00126,0.4685,0.93827,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6950.92,1.02284,0.51052,0.93894,0.8055,0.7553,0.77048,0.50016,0.99787,0.46665,0.93534,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
42,7119.55,1.01438,0.50447,0.93615,0.82689,0.74467,0.76599,0.50068,0.99794,0.46483,0.938,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
43,7288.17,1.01152,0.50142,0.93369,0.81015,0.74455,0.77461,0.50139,0.98927,0.46446,0.93522,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
44,7456.87,1.0085,0.49471,0.93551,0.79077,0.753,0.77097,0.50773,0.98792,0.46152,0.93465,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
45,7625.58,1.00121,0.49221,0.93133,0.79688,0.7584,0.76536,0.4978,0.98651,0.46183,0.93688,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
46,7794.2,1.00113,0.49197,0.93047,0.80004,0.75877,0.77012,0.49757,0.98806,0.4615,0.93697,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
47,7962.86,0.99387,0.49178,0.92748,0.80281,0.76676,0.77107,0.50478,0.98755,0.45983,0.93533,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446,0.016338,0.005446
48,8131.53,0.99366,0.48832,0.93067,0.81296,0.76015,0.7766,0.50567,0.98754,0.4582,0.93752,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347,0.016041,0.005347
