epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,171.707,1.3167,2.35742,1.32805,0.81571,0.20718,0.23226,0.14098,1.26773,1.63173,1.29051,0.000158232,0.000158232,0.000158232
2,327.12,1.23427,1.4587,1.25998,0.7427,0.26547,0.28981,0.17057,1.25642,1.43101,1.26854,0.000254153,0.000254153,0.000254153
3,483.413,1.21334,1.32469,1.2408,0.72276,0.31383,0.32728,0.19539,1.22324,1.3184,1.24594,0.000287241,0.000287241,0.000287241
4,641.53,1.17784,1.21582,1.2177,0.75418,0.33588,0.35758,0.21088,1.20948,1.20827,1.23753,0.000193256,0.000193256,0.000193256
5,794.242,1.14323,1.14497,1.19442,0.73715,0.34723,0.37432,0.22571,1.15821,1.12703,1.19694,9.9008e-05,9.9008e-05,9.9008e-05
